"","Year","X","State","Wage","Total","Number","Standard.error","Percent","Standard.error.1","Fed","Annual","Index","RealWage"
"1",1959,1132,"Poverty Threshold",1.43,NA,NA,NA,NA,NA,0,NA,NA,NA
"2",1960,1133,"Poverty Threshold",1.45,NA,NA,NA,NA,NA,0,NA,NA,NA
"3",1961,1134,"Poverty Threshold",1.47,NA,NA,NA,NA,NA,0,NA,NA,NA
"4",1962,1135,"Poverty Threshold",1.49,NA,NA,NA,NA,NA,0,NA,NA,NA
"5",1963,1136,"Poverty Threshold",1.5,NA,NA,NA,NA,NA,0,NA,NA,NA
"6",1964,1137,"Poverty Threshold",1.52,NA,NA,NA,NA,NA,0,NA,NA,NA
"7",1965,1138,"Poverty Threshold",1.55,NA,NA,NA,NA,NA,0,NA,NA,NA
"8",1966,1139,"Poverty Threshold",1.59,NA,NA,NA,NA,NA,0,NA,NA,NA
"9",1967,1140,"Poverty Threshold",1.64,NA,NA,NA,NA,NA,0,NA,NA,NA
"10",1968,1,"Alabama",1.38,NA,NA,NA,NA,NA,1,NA,NA,NA
"11",1968,30,"Alaska",2.1,NA,NA,NA,NA,NA,0,NA,NA,NA
"12",1968,59,"Arizona",4.51,NA,NA,NA,NA,NA,0,NA,NA,NA
"13",1968,88,"Arkansas",1.25,NA,NA,NA,NA,NA,0,NA,NA,NA
"14",1968,117,"California",1.65,NA,NA,NA,NA,NA,0,NA,NA,NA
"15",1968,146,"Colorado",1.13,NA,NA,NA,NA,NA,0,NA,NA,NA
"16",1968,175,"Connecticut",1.4,NA,NA,NA,NA,NA,0,NA,NA,NA
"17",1968,204,"Delaware",1.25,NA,NA,NA,NA,NA,0,NA,NA,NA
"18",1968,233,"Federal",1.38,NA,NA,NA,NA,NA,0,NA,NA,NA
"19",1968,262,"Florida",1.38,NA,NA,NA,NA,NA,1,NA,NA,NA
"20",1968,291,"Georgia",1.38,NA,NA,NA,NA,NA,1,NA,NA,NA
"21",1968,320,"Hawaii",1.25,NA,NA,NA,NA,NA,0,NA,NA,NA
"22",1968,349,"Idaho",1.15,NA,NA,NA,NA,NA,0,NA,NA,NA
"23",1968,378,"Illinois",1.38,NA,NA,NA,NA,NA,1,NA,NA,NA
"24",1968,407,"Indiana",1.15,NA,NA,NA,NA,NA,0,NA,NA,NA
"25",1968,436,"Iowa",1.38,NA,NA,NA,NA,NA,1,NA,NA,NA
"26",1968,465,"Kansas",1.38,NA,NA,NA,NA,NA,1,NA,NA,NA
"27",1968,494,"Kentucky",0.7,NA,NA,NA,NA,NA,0,NA,NA,NA
"28",1968,523,"Louisiana",1.38,NA,NA,NA,NA,NA,1,NA,NA,NA
"29",1968,552,"Maine",1.4,NA,NA,NA,NA,NA,0,NA,NA,NA
"30",1968,581,"Maryland",1.08,NA,NA,NA,NA,NA,0,NA,NA,NA
"31",1968,610,"Massachusetts",1.6,NA,NA,NA,NA,NA,0,NA,NA,NA
"32",1968,639,"Michigan",1.25,NA,NA,NA,NA,NA,0,NA,NA,NA
"33",1968,668,"Minnesota",0.93,NA,NA,NA,NA,NA,0,NA,NA,NA
"34",1968,697,"Mississippi",1.38,NA,NA,NA,NA,NA,1,NA,NA,NA
"35",1968,726,"Missouri",1.38,NA,NA,NA,NA,NA,1,NA,NA,NA
"36",1968,755,"Montana",1.38,NA,NA,NA,NA,NA,1,NA,NA,NA
"37",1968,784,"Nebraska",1,NA,NA,NA,NA,NA,0,NA,NA,NA
"38",1968,813,"Nevada",1.25,NA,NA,NA,NA,NA,0,NA,NA,NA
"39",1968,842,"New Hampshire",1.4,NA,NA,NA,NA,NA,0,NA,NA,NA
"40",1968,871,"New Jersey",1.4,NA,NA,NA,NA,NA,0,NA,NA,NA
"41",1968,900,"New Mexico",1.28,NA,NA,NA,NA,NA,0,NA,NA,NA
"42",1968,929,"New York",1.6,NA,NA,NA,NA,NA,0,NA,NA,NA
